field,value
brand_name,KYAN - Integrated Business Solutions
arabic_name,كيان - حلول الأعمال المتكاملة
tagline,"KYAN - من اللخبطة للنظام، ومن النظام للنمو."
positioning,"organize, digitize, automate, grow"
primary_language,Simple Egyptian Arabic
allowed_english_terms,"CRM; Automation; System; Digital Presence; Landing Page"
tone,"practical; clear; confident; helpful; Egyptian-friendly; smart"
primary_cta,ابعتلنا لينك صفحتك أو موقعك لتحليل مجاني.
safe_claim,"We improve the system, clarity, follow-up, and customer journey to increase the chance of better results."
never_claim,"guaranteed sales; guaranteed viral content; first-page Google ranking; instant growth; zero-maintenance automation"
